Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
MRVL,"Marvell Technology, Inc.",39.99,-2.48719824,-1.02,Neutral,10792031,431573319.69,34267430573.869064,,-0.1928,7448,Electronic Technology
TEAM,Atlassian Corporation,133.15,2.41519883,3.14,Sell,2843285,378583397.75,34266884922.294445,,-1.3921,8813,Technology Services
ED,"Consolidated Edison, Inc.",98.77,-0.24239976,-0.24,Buy,1469868,145178862.35999998,34227775468.208466,14.07220608,7.0444,14319,Utilities
ABC,AmerisourceBergen Corporation,168.25,0.0237798,0.04,Buy,1190410,200286482.5,34064906434.4599,21.62930015,7.874,44000,Distribution Services
ON,ON Semiconductor Corporation,78.81,-2.12369598,-1.71,Buy,4736883,373313749.23,34035896569.921013,19.2379046,4.2374,31109,Electronic Technology
MPLX,MPLX LP,34,0.17678256,0.06,Sell,1031367,35066478,34035492763.28816,8.71884296,3.9009,5811,Industrial Services
COF,Capital One Financial Corporation,89.01,-0.06736275,-0.06,Sell,2002975,178284804.75,33984570936.275856,6.13735089,14.5499,55943,Finance
RMD,ResMed Inc.,231.13,-0.67468844,-1.57,Buy,417207,96429053.91,33960080412.404987,39.43726859,5.8858,8160,Health Technology
DELL,Dell Technologies Inc.,45.98,-0.08691873,-0.04,Buy,3220612,148083739.76,33628582142.109077,14.29593011,3.3073,133000,Electronic Technology
AME,"AMETEK, Inc.",144.41,-0.42063164,-0.61,Buy,601276,86830267.16,33282923054.439663,27.98697649,5.1891,19600,Producer Manufacturing
FIS,"Fidelity National Information Services, Inc.",55.65,-0.55396712,-0.31,Buy,3639126,202517361.9,32969091989.73999,,-28.1797,69000,Technology Services
BK,The Bank of New York Mellon Corporation,41.54,0.09638554,0.04,Sell,4023580,167139513.2,32780617597.56241,13.1360086,3.1766,51700,Finance
IBKR,"Interactive Brokers Group, Inc.",77.99,-0.1536295,-0.12,Neutral,568421,44331153.79,32713156807.323772,17.63681592,4.4601,2820,Finance
WBD,"Warner Bros. Discovery, Inc. - Series A",13.41,-0.37147103,-0.05,Neutral,20611211,276396339.51,32668200619.562405,,-3.7503,37500,Consumer Services
